year,period,periodName,latest,value,footnotes
2024,M11,November,True,34.3,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M10,October,,34.2,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M09,September,,34.3,[{}]
2024,M08,August,,34.3,[{}]
2024,M07,July,,34.2,[{}]
2024,M06,June,,34.3,[{}]
2024,M05,May,,34.3,[{}]
2024,M04,April,,34.3,[{}]
2024,M03,March,,34.4,[{}]
2024,M02,February,,34.3,[{}]
2024,M01,January,,34.2,[{}]
2023,M12,December,,34.4,[{}]
2023,M11,November,,34.4,[{}]
2023,M10,October,,34.3,[{}]
2023,M09,September,,34.4,[{}]
2023,M08,August,,34.4,[{}]
2023,M07,July,,34.3,[{}]
2023,M06,June,,34.4,[{}]
2023,M05,May,,34.4,[{}]
2023,M04,April,,34.3,[{}]
2023,M03,March,,34.4,[{}]
2023,M02,February,,34.5,[{}]
2023,M01,January,,34.6,[{}]
