year,period,periodName,latest,value,footnotes
2024,M11,November,True,7145,[{}]
2024,M10,October,,6984,[{}]
2024,M09,September,,6834,[{}]
2024,M08,August,,7115,[{}]
2024,M07,July,,7163,[{}]
2024,M06,June,,6811,[{}]
2024,M05,May,,6649,[{}]
2024,M04,April,,6492,[{}]
2024,M03,March,,6429,[{}]
2024,M02,February,,6458,[{}]
2024,M01,January,,6124,[{}]
2023,M12,December,,6268,[{}]
2023,M11,November,,6262,[{}]
2023,M10,October,,6443,[{}]
2023,M09,September,,6347,[{}]
2023,M08,August,,6340,[{}]
2023,M07,July,,5904,[{}]
2023,M06,June,,5997,[{}]
2023,M05,May,,6117,[{}]
2023,M04,April,,5715,[{}]
2023,M03,March,,5866,[{}]
2023,M02,February,,5962,[{}]
2023,M01,January,,5719,[{}]
